Bedwell Eel 04-28,Bedwell Eel 05-11,Bedwell Eel 05-27,Bedwell Eel 06-09,Bedwell NonEel 04-14,Bedwell NonEel 05-27,Fraser Eel 03-30,Fraser Eel 04-16,Fraser Eel 04-30,Fraser Eel 05-11,Fraser Eel 05-27,Fraser Eel 06-11,Fraser Eel 06-25,Fraser Eel 07-12,Fraser NonEel 03-30,Fraser NonEel 04-16,Fraser NonEel 04-30,Fraser NonEel 05-11,Fraser NonEel 05-27,Fraser NonEel 06-11,Fraser NonEel 06-25,Fraser NonEel 07-12,Koeye Eel 04-30,Koeye Eel 05-11,Koeye Eel 06-11,Koeye Eel 07-09,Koeye Eel 08-07,Koeye NonEel 04-30,Koeye NonEel 05-11,Koeye NonEel 06-11,Koeye NonEel 07-09,Koeye NonEel 08-07,Qualicum Eel 04-11,Qualicum Eel 04-25,Qualicum Eel 05-10,Qualicum Eel 05-25,Qualicum Eel 06-06,Qualicum Eel 06-22,Qualicum Eel 07-06,Qualicum NonEel 04-11,Qualicum NonEel 04-25,Qualicum NonEel 05-10,Qualicum NonEel 05-25,Qualicum NonEel 06-06,Qualicum NonEel 06-22,Tahsis Eel 05-10,Tahsis Eel 05-26,Tahsis Eel 06-08,Tahsis Eel 06-23,Tahsis NonEel 05-10,Tahsis NonEel 05-26,Tahsis NonEel 06-08,Tahsis NonEel 06-23
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2557545,0.0,0.0,0.5698006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4538578,0.0,1.1855226499999998,0.0,1.8867925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3759398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,6.432748500000001,3.4246575000000004,3.4883721,2.65389085,2.7210884,0.0,0.0,0.05839419999999999,0.0,0.0,0.0,1.17635755,0.8477456000000001,0.0,0.0,0.1564945,0.6593407,0.0,0.0,0.0,0.0,34.6194615,3.8834950999999998,16.96276415,6.34615385,0.90506265,5.88235295,3.5714286,1.6949153000000001,2.5,1.2597187,22.4961479,30.214697899999997,54.9473068,27.6497696,0.0,7.0624872,16.0897436,21.0116732,10.90213665,17.42009615,15.2154424,11.4104596,2.04198475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1346445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51003855,0.0,3.1105991,0.0,0.8196721,0.0,0.0,0.0,0.7518796999999999,14.5631068,0.0,1.6666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95.73387100000001,74.2690058,45.5479452,80.23255809999999,49.3002323,71.4285714,18.98497675,45.006935666666664,47.5402224,29.673913000000002,6.77479265,43.9072039,38.556594149999995,45.490315349999996,1.4807959000000002,3.5128806,13.284386300000001,34.9450549,7.429551200000001,15.413533800000002,38.77172195,41.85088045,6.94297225,33.4881103,33.1671779,20.3846154,66.67485315,3.9215686,3.5714286,6.961259049999999,0.0,7.163992449999999,4.6224961,4.1147518000000005,11.4754098,3.34101385,0.0,0.2881844,4.6153846,0.0,2.30462975,9.3984962,0.0,0.0,0.8969465999999999,4.0073468000000005,2.5972269,24.928659600000003,5.97167435,6.0565276,54.789916000000005,7.9051383,32.7510917
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.247191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2617801,0.7608696,0.5797551000000001,0.0,0.0,0.3952569,0.0,0.0,0.6423505,0.2197802,0.0,0.6211180000000001,0.42034760000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0769231,0.0,0.0,0.7518796999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3339456,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2.76132405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9565217,4.3956044,0.0,0.0,0.0,0.0,8.850964600000001,2.66638525,42.78076005,2.5,0.0,23.52941175,11.1111111,47.457627099999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8196721,0.0,0.0,0.0,0.0,0.0,86.5384615,1.40585245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2285426,2.9239766,6.8493151,6.9767442,3.0052265,5.1020408,3.1914894,1.4726292333333333,1.0068024500000001,4.673913,0.0,0.8791209,1.01610115,0.7905138,0.2567841,0.7025761,0.0,1.0989011,0.0,3.7267081,1.4405810000000001,11.6647933,7.547169800000001,14.5631068,2.00238585,11.5384615,3.3057851,16.66666665,0.0,35.7142857,21.25,65.07391175000001,0.9244992000000001,0.203666,0.0,1.3824885,0.0,0.2881844,0.0,1.9455253,10.273474850000001,30.219586049999997,5.5534362,4.23351215,13.47328245,1.3357823,0.0,2.3728814000000003,0.28482885,2.0188425,0.0,0.0,1.3100437
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2020202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8818444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.3269454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
